iter	Passed	Remaining
913	11641	1095
914	11653	1082
915	11665	1069
916	11676	1056
917	11687	1044
918	11699	1031
919	11710	1018
920	11722	1005
921	11733	992
922	11744	979
923	11755	966
924	11766	954
925	11777	941
926	11788	928
927	11800	915
928	11811	902
929	11822	889
930	11833	877
931	11844	864
932	11855	851
933	11866	838
934	11878	825
935	11889	812
936	11901	800
937	11912	787
938	11924	774
939	11935	761
940	11946	749
941	11958	736
942	11969	723
943	11980	710
944	11992	697
945	12003	685
946	12014	672
947	12026	659
948	12037	646
949	12049	634
950	12060	621
951	12071	608
952	12082	595
953	12093	583
954	12104	570
955	12115	557
956	12126	544
957	12137	532
958	12148	519
959	12159	506
960	12171	493
961	12182	481
962	12192	468
963	12204	455
964	12215	443
965	12226	430
966	12238	417
967	12249	404
968	12260	392
969	12271	379
970	12282	366
971	12293	354
972	12305	341
973	12316	328
974	12328	316
975	12339	303
976	12350	290
977	12361	278
978	12372	265
979	12384	252
980	12395	240
981	12408	227
982	12423	214
983	12439	202
984	12455	189
985	12471	177
986	12486	164
987	12501	151
988	12515	139
989	12531	126
990	12546	113
991	12562	101
992	12583	88
993	12600	76
994	12615	63
995	12628	50
996	12642	38
997	12655	25
998	12668	12
999	12682	0
